frame_index,label,score,box
7,a computer mouse,0.24030797,"[0.011620521545410156, 278.7508544921875, 96.9033432006836, 352.82354736328125]"
8,a computer mouse,0.23483413,"[33.262657165527344, 288.095947265625, 145.5609893798828, 355.4856262207031]"
9,a computer mouse,0.2220074,"[42.334808349609375, 288.7435607910156, 155.04835510253906, 358.075927734375]"
10,a computer mouse,0.28700662,"[48.9185905456543, 305.306884765625, 167.6453399658203, 377.6065368652344]"
11,a computer mouse,0.33341575,"[36.54047393798828, 320.6444091796875, 150.79306030273438, 390.5048522949219]"
12,a computer mouse,0.36111733,"[25.877765655517578, 319.49273681640625, 147.74356079101562, 387.9132995605469]"
13,a computer mouse,0.13803647,"[1.4160442352294922, 309.06915283203125, 98.93607330322266, 384.550537109375]"
14,a computer mouse,0.2292835,"[3.6701154708862305, 323.78167724609375, 123.72482299804688, 397.9492492675781]"
15,a computer mouse,0.3212675,"[0.29508113861083984, 318.925537109375, 111.64244079589844, 397.6523132324219]"
16,a computer mouse,0.2748088,"[-0.001964569091796875, 321.432373046875, 108.32596588134766, 399.14337158203125]"
22,a overhead headphone,0.5204184,"[192.7880096435547, 122.28759002685547, 455.2891540527344, 322.0422058105469]"
22,a overhead headphone,0.11067841,"[196.842041015625, 126.30841064453125, 457.07025146484375, 323.6902160644531]"
23,a overhead headphone,0.35062584,"[194.31869506835938, 122.72354888916016, 450.1226806640625, 321.9065856933594]"
24,a overhead headphone,0.35590804,"[197.31961059570312, 119.85358428955078, 450.6918640136719, 321.916748046875]"
24,a overhead headphone,0.2802885,"[187.6003875732422, 130.9886932373047, 449.27392578125, 319.75958251953125]"
25,a overhead headphone,0.56770545,"[188.934814453125, 124.35274505615234, 455.1849060058594, 318.3798828125]"
25,a overhead headphone,0.14340034,"[200.5084228515625, 205.26913452148438, 453.276123046875, 320.61785888671875]"
26,a overhead headphone,0.41055256,"[194.71372985839844, 119.55976104736328, 450.3695068359375, 318.705322265625]"
26,a overhead headphone,0.12057556,"[184.01544189453125, 161.55516052246094, 451.79693603515625, 318.1185607910156]"
27,a overhead headphone,0.5631236,"[189.3687744140625, 124.05243682861328, 456.55841064453125, 318.96923828125]"
28,a overhead headphone,0.62090474,"[189.36386108398438, 125.51539611816406, 455.79193115234375, 318.6162109375]"
29,a overhead headphone,0.5586119,"[189.44480895996094, 125.68293762207031, 451.1344909667969, 319.7880554199219]"
30,a overhead headphone,0.5738072,"[187.7073974609375, 126.28669738769531, 451.7151184082031, 322.4705505371094]"
31,a overhead headphone,0.5382354,"[189.99026489257812, 120.27555847167969, 453.0286865234375, 317.3623046875]"
32,a overhead headphone,0.6154026,"[186.96029663085938, 124.29146575927734, 451.4893798828125, 319.89971923828125]"
33,a overhead headphone,0.35325238,"[191.72409057617188, 119.4766845703125, 445.2462158203125, 320.1972351074219]"
33,a overhead headphone,0.19379276,"[187.4085235595703, 131.17172241210938, 455.11175537109375, 320.1067199707031]"
34,a overhead headphone,0.50509626,"[192.89962768554688, 118.30604553222656, 456.564697265625, 318.2655944824219]"
35,a overhead headphone,0.56481075,"[186.23538208007812, 120.41619110107422, 450.27093505859375, 318.39801025390625]"
36,a overhead headphone,0.5546366,"[191.12937927246094, 119.32770538330078, 451.6172790527344, 319.342529296875]"
36,a overhead headphone,0.10064309,"[186.41409301757812, 180.8414306640625, 447.4974060058594, 315.9691467285156]"
37,a overhead headphone,0.64580524,"[188.25198364257812, 125.83177947998047, 454.79931640625, 319.1368713378906]"
